113.375,312
116.734,207
302,311.667
292.25,207
102.237,259.5
206.25,295.742
338,213.717
400.25,207
381.75,303.25
381.75,346.168
344,346.168
431.75,216
467.875,228
529.5,228
354.5,365.344
390.016,365.12
401.125,365.12
552.875,216
582,216
455.249,308.25
613.5,346.168
560.182,336.668
471.234,336.668
596.168,365.344
608.924,365.12
664.25,365.344
677.75,365.12
664.25,346.168
677.75,346.168
541.25,365.344
489.452,365.344
592.809,201.383
688.125,218.302
729.75,346.168
809.375,186.5
823.335,197.363
823.335,278.709
823.335,249.709
764.836,297.334
435.016,365.12
781.617,382.834
774.667,323.109
774.667,336.668
763,365.12
354.5,355.333
381.75,354.667
390.016,354.667
401.125,354.667
435.016,350.526
455.249,350.526
489.452,350.526
541.25,350.526
560.182,350.526
596.168,355.333
608.924,355.333
613.5,355.333
664.25,355.333
677.75,355.333
729.742,352.903
765.234,353.029
764.835,336.668
764.835,323.109
809.375,249.709
688.125,249.709
582,249.709
552.875,249.709
529.5,249.709
467.875,249.709
431.75,249.709
400.25,249.709
381.75,249.709
338,249.709
302,249.709
292.25,249.709
205.073,249.709
113.375,249.709